CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
001003,944,0,944,0
001010,403,47,450,0
001011,1,0,1,0
001012,5,0,5,4
001015,364,4,368,0
001017,361,0,361,0
001018,799,19,818,3
001021,921,0,921,0
001024,3,0,3,1
001028,2206,127,2333,0
001033,1609,26,1635,1
001034,2717,0,2717,41
001035,2514,0,2514,3
001037,459,0,459,0
001038,38,0,38,1
001040,853,0,853,0
001044,2567,0,2567,0
001048,1597,14,1611,2
001051,1209,0,1209,8
001052,1,0,1,0
001053,1432,0,1432,0
001054,824,0,824,0
001055,1347,0,1347,6
001058,3499,18,3517,20
001059,7859,21,7880,8
001060,86,0,86,2
001061,528,0,528,0
001068,1869,0,1869,2
001070,1831,28,1859,29
001071,640,139,779,3
001072,1562,0,1562,0
001074,1177,7,1184,4
001077,8,0,8,8
001078,6773,2,6775,17
001082,9132,0,9132,8
001086,5612,0,5612,4
001087,228,7,235,0
001088,1116,0,1116,0
001090,1,0,1,91
001093,2006,29,2035,0
001095,11,0,11,0
001097,3991,2,3993,13
001098,3002,94,3096,3
001101,66,0,66,0
001104,1137,0,1137,0
001108,6,0,6,0
001109,1185,0,1185,0
001110,7,0,7,0
001111,414,9,423,0
001115,6648,2,6650,0
001116,59,0,59,1
001117,726,0,726,0
001118,967,0,967,0
001122,497,1,498,9
001127,3064,54,3118,3
001129,819,0,819,0
001135,981,0,981,0
001137,22,0,22,0
001142,692,21,713,16
001144,742,0,742,1
001147,1111,12,1123,0
001148,1874,0,1874,8
001152,1018,0,1018,0
001154,228,1,229,0
001156,8372,153,8525,16
001158,356,0,356,0
001159,517,0,517,0
001163,381,0,381,0
001164,5577,394,5971,15
001166,2120,24,2144,6
001168,1998,0,1998,4
001171,5781,0,5781,66
001172,2,0,2,1
001175,886,0,886,6
001176,7,0,7,0
001180,464,0,464,1
001181,1053,0,1053,1
001183,1171,8,1179,9
001189,2882,135,3017,14
001190,1898,54,1952,8
001191,10804,7,10811,7
001192,1944,6,1950,7
001193,1259,33,1292,2
001194,3416,163,3579,4
001197,3999,16,4015,6
001198,675,0,675,0
001200,5,0,5,0
001201,980,53,1033,0
001203,952,0,952,8
001204,533,0,533,0
001206,571,0,571,3
001213,547,0,547,0
001214,6107,140,6247,11
001215,1210,12,1222,4
001219,11120,6,11126,31
001220,16,0,16,0
001222,909,0,909,0
001225,714,0,714,1
001233,293,0,293,0
001236,2632,28,2660,3
001237,1485,0,1485,0
001241,1038,0,1038,7
001245,611,6,617,0
001246,6,0,6,0
001248,1,0,1,2
001249,4154,0,4154,53
001250,3,0,3,9
001252,1437,0,1437,1
001254,1603,0,1603,0
001255,2208,0,2208,25
001256,1750,6,1756,23
001257,2332,15,2347,1
001258,318,15,333,0
001259,844,27,871,25
001262,610,0,610,0
001263,955,4,959,8
001265,10405,157,10562,39
001266,1673,1,1674,1
001268,14,0,14,0
001271,8,0,8,14
001276,1388,0,1388,0
001280,20,0,20,8
001281,448,0,448,3
001283,59,0,59,3
001284,25,0,25,0
001285,8,0,8,0
001289,12,0,12,0
001290,31,0,31,0
001292,3484,11,3495,2
001293,1912,0,1912,3
001294,753,0,753,3
001299,2452,16,2468,2
001301,459,0,459,1
001307,1484,32,1516,10
001308,1261,41,1302,8
001309,3565,0,3565,6
001310,452,0,452,0
001313,2668,0,2668,0
001314,4206,64,4270,2
001315,2303,42,2345,7
002002,687,0,687,13
002003,222,0,222,3
002004,1592,0,1592,6
002009,1,0,1,1
002011,1380,0,1380,7
002025,510,0,510,6
002031,941,0,941,2
002032,805,0,805,2
002042,3306,0,3306,4
002043,354,0,354,0
002047,600,0,600,2
002061,4576,1,4577,19
002065,249,0,249,2
002071,2960,7,2967,3
002072,546,0,546,1
002089,153,0,153,0
002097,548,0,548,0
002104,406,0,406,1
002107,1520,1,1521,2
002113,377,0,377,1
002115,266,0,266,31
002116,1528,0,1528,5
002122,392,0,392,4
002126,143,0,143,1
002127,99,0,99,2
002133,3473,67,3540,5
002137,1842,0,1842,31
002148,3259,95,3354,9
002150,1823,0,1823,26
002156,4326,0,4326,15
002158,12180,114,12294,69
002164,637,0,637,2
002171,661,0,661,1
003001,950,1,951,3
003006,1,0,1,1
003008,4661,127,4788,4
003012,442,50,492,2
003016,3522,0,3522,43
003018,842,0,842,8
003021,753,0,753,1
003022,474,22,496,1
003024,2012,0,2012,9
003025,1979,79,2058,9
003027,399,0,399,1
003030,1032,0,1032,2
003032,3247,0,3247,7
003040,758,0,758,1
003041,631,0,631,7
003043,5241,0,5241,12
003044,213,16,229,1
003045,719,0,719,11
003047,967,55,1022,0
003049,3262,108,3370,2
003052,610,0,610,3
003055,5,0,5,4
003058,1,0,1,3
003060,791,0,791,3
003062,1023,0,1023,3
003065,1533,0,1533,5
003066,1141,0,1141,4
003068,5324,0,5324,55
003069,465,0,465,7
003070,1337,0,1337,28
003076,1924,0,1924,3
003084,30,0,30,10
003088,949,1,950,0
003091,555,0,555,6
003093,1241,0,1241,0
003095,44,0,44,28
003097,39,0,39,18
003100,1138,0,1138,3
003104,351,47,398,2
003106,25482,0,25482,126
003108,6818,47,6865,5
003112,490,0,490,0
003115,892,0,892,1
003116,956,0,956,7
003119,1,0,1,0
003121,11,0,11,2
003122,839,18,857,2
003130,2401,28,2429,16
003131,1448,0,1448,1
003133,3,0,3,1
003135,1691,0,1691,6
003139,922,0,922,0
003141,751,0,751,14
003143,3,0,3,46
003144,278,0,278,10
003146,34,0,34,15
003149,6664,49,6713,26
003153,821,22,843,4
003154,541,0,541,16
003158,434,0,434,15
003164,552,49,601,2
003166,2484,9,2493,13
004004,155,0,155,6
004006,285,0,285,1
004007,138,19,157,7
004009,5878,34,5912,3
004012,4033,3,4036,17
004013,395,16,411,0
004014,441,0,441,0
004016,1,0,1,27
004017,294,0,294,3
004018,162,0,162,2
004019,1962,0,1962,1
004020,255,10,265,2
004022,1757,72,1829,2
004023,159,0,159,2
004026,228,0,228,2
004027,580,0,580,10
