CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale
001003,944,0,944
001010,403,47,450
001011,1,0,1
001012,5,0,5
001015,355,13,368
001017,355,6,361
001018,793,25,818
001021,920,1,921
001024,3,0,3
001028,2200,133,2333
001033,1587,48,1635
001034,2717,0,2717
001035,2511,3,2514
001037,457,2,459
001038,38,0,38
001040,853,0,853
001044,2567,0,2567
001048,1596,15,1611
001051,1209,0,1209
001052,1,0,1
001053,1432,0,1432
001054,821,3,824
001055,1346,1,1347
001058,3488,29,3517
001059,7857,23,7880
001060,86,0,86
001061,527,1,528
001068,1856,13,1869
001070,1816,43,1859
001071,640,139,779
001072,1562,0,1562
001074,1175,9,1184
001077,8,0,8
001078,6769,6,6775
001082,9132,0,9132
001086,5612,0,5612
001087,228,7,235
001088,1115,1,1116
001090,1,0,1
001093,2006,29,2035
001095,11,0,11
001097,3983,10,3993
001098,2990,106,3096
001101,66,0,66
001104,1133,4,1137
001108,6,0,6
001109,1185,0,1185
001110,7,0,7
001111,401,22,423
001115,6647,3,6650
001116,59,0,59
001117,725,1,726
001118,967,0,967
001122,497,1,498
001127,3059,59,3118
001129,818,1,819
001135,981,0,981
001137,22,0,22
001142,685,28,713
001144,735,7,742
001147,1111,12,1123
001148,1873,1,1874
001152,1018,0,1018
001154,227,2,229
001156,8343,182,8525
001158,356,0,356
001159,517,0,517
001163,381,0,381
001164,5558,413,5971
001166,2095,49,2144
001168,1997,1,1998
001171,5774,7,5781
001172,2,0,2
001175,886,0,886
001176,7,0,7
001180,464,0,464
001181,1051,2,1053
001183,1158,21,1179
001189,2876,141,3017
001190,1894,58,1952
001191,10799,12,10811
001192,1929,21,1950
001193,1259,33,1292
001194,3413,166,3579
001197,3995,20,4015
001198,675,0,675
001200,5,0,5
001201,980,53,1033
001203,952,0,952
001204,533,0,533
001206,567,4,571
001213,540,7,547
001214,6014,233,6247
001215,1210,12,1222
001219,11111,15,11126
001220,16,0,16
001222,909,0,909
001225,714,0,714
001233,291,2,293
001236,2630,30,2660
001237,1478,7,1485
001241,1038,0,1038
001245,608,9,617
001246,6,0,6
001248,1,0,1
001249,4146,8,4154
001250,3,0,3
001252,1432,5,1437
001254,1598,5,1603
001255,2198,10,2208
001256,1750,6,1756
001257,2329,18,2347
