CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
001003,872,0,872,0
001006,2835,21,2856,0
001010,696,0,696,0
001011,1,0,1,0
001012,8,0,8,1
001015,368,0,368,0
001017,360,0,360,0
001018,799,19,818,1
001020,1019,0,1019,0
001021,922,0,922,0
001024,3,0,3,1
001028,2338,0,2338,0
001033,1635,0,1635,8
001034,2717,0,2717,0
001035,2518,0,2518,0
001037,459,0,459,0
001038,40,0,40,0
001040,853,0,853,0
001041,679,0,679,13
001044,2567,0,2567,0
001045,1659,0,1659,3
001048,1597,14,1611,0
001051,1751,0,1751,1
001052,1,0,1,0
001053,1432,0,1432,0
001054,824,0,824,0
001055,1345,0,1345,0
001058,3518,0,3518,9
001059,7903,0,7903,3
001060,1062,0,1062,0
001061,528,0,528,0
001063,3388,0,3388,0
001065,18,0,18,2
001068,1869,0,1869,1
001070,1906,0,1906,0
001071,777,2,779,2
001072,1562,0,1562,0
001074,1177,7,1184,2
001075,714,0,714,0
001077,1035,0,1035,0
001078,6773,2,6775,8
001080,1147,0,1147,0
001082,9155,0,9155,0
001086,5612,0,5612,0
001087,228,7,235,0
001088,1123,0,1123,0
001090,9167,126,9293,80
001093,2040,0,2040,0
001095,11,0,11,0
001097,3993,0,3993,4
001098,3223,93,3316,0
001099,2114,3,2117,1
001101,66,0,66,0
001104,1139,0,1139,3
001108,6,0,6,0
001109,1185,0,1185,0
001110,963,0,963,0
001111,423,0,423,0
001115,6689,0,6689,0
001116,59,0,59,1
001117,726,0,726,0
001118,967,0,967,0
001120,7834,0,7834,20
001122,498,0,498,0
001123,164,0,164,0
001125,9246,0,9246,0
001127,3064,54,3118,1
001128,2512,0,2512,8
001129,819,0,819,0
001135,981,0,981,0
001137,22,0,22,0
001142,692,21,713,8
001144,742,0,742,0
001146,1198,0,1198,0
001147,1123,0,1123,0
001148,1874,0,1874,0
001152,1018,0,1018,0
001154,228,1,229,0
001156,8756,156,8912,3
001157,98,0,98,0
001158,356,0,356,0
001159,519,0,519,0
001163,381,0,381,0
001164,6021,1,6022,16
001166,2143,0,2143,0
001168,1998,0,1998,0
001171,5781,0,5781,27
001172,2,0,2,0
001175,2566,0,2566,6
001176,7,0,7,0
001180,464,0,464,1
001181,1053,0,1053,0
001183,1171,8,1179,8
001187,485,0,485,0
001189,3023,0,3023,17
001190,2281,2,2283,0
001191,10804,7,10811,0
001192,1950,0,1950,7
001193,1292,0,1292,2
001194,3582,0,3582,3
001195,1423,0,1423,24
001196,1098,0,1098,0
001197,4016,0,4016,1
001198,675,0,675,0
001200,5,0,5,0
001201,980,53,1033,0
001203,952,0,952,0
001204,533,0,533,0
001206,583,0,583,0
001211,692,0,692,0
001213,547,0,547,0
001214,6254,0,6254,0
001215,1210,12,1222,3
001216,2,0,2,0
001219,12795,6,12801,11
001220,16,0,16,0
001222,909,0,909,0
001225,714,0,714,0
001228,1527,0,1527,0
001231,1,0,1,0
001233,293,0,293,0
001236,2660,0,2660,0
001237,1485,0,1485,0
001238,276,0,276,0
