pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_cm,den_prov,den_reg,den_rip,den_uts,ontopia,sigla,tipo_uts
1,1,1,001,201,201,1001,1001,Agliè,,0,15843.9823914,13240681581,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001001,TO,Città metropolitana
2,1,1,001,201,201,1002,1002,Airasca,,0,16188.9452168,16032724.9074,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001002,TO,Città metropolitana
3,1,1,001,201,201,1003,1003,Ala di Stura,,0,29257.7352988,46174949.2103,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001003,TO,Città metropolitana
4,1,1,001,201,201,1004,1004,Albiano d'Ivrea,,0,16429.9083195,11677018.9381,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001004,TO,Città metropolitana
5,1,1,001,201,201,1006,1006,Almese,,0,16104.2853982,17987914.4308,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001006,TO,Città metropolitana
6,1,1,001,201,201,1007,1007,Alpette,,0,8894.83299352,5555691.97046,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001007,TO,Città metropolitana
7,1,1,001,201,201,1008,1008,Alpignano,,0,15190.5396171,11897218.4317,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001008,TO,Città metropolitana
8,1,1,001,201,201,1009,1009,Andezeno,,0,11473.2201418,7476553.90016,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001009,TO,Città metropolitana
9,1,1,001,201,201,1010,1010,Andrate,,0,18677.5165613,9357339.50395,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001010,TO,Città metropolitana
10,1,1,001,201,201,1011,1011,Angrogna,,0,31461.844747,38408771.4359,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001011,TO,Città metropolitana
11,1,1,001,201,201,1012,1012,Arignano,,0,12899.0945713,7961051.01132,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001012,TO,Città metropolitana
12,1,1,001,201,201,1013,1013,Avigliana,,0,23648.7523298,22993253.3718,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001013,TO,Città metropolitana
13,1,1,001,201,201,1014,1014,Azeglio,,0,20329.0141086,9864099.89637,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001014,TO,Città metropolitana
14,1,1,001,201,201,1015,1015,Bairo,,0,11050.4078359,7080508.69124,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001015,TO,Città metropolitana
15,1,1,001,201,201,1016,1016,Balangero,,0,16131.5217266,12931540432,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001016,TO,Città metropolitana
16,1,1,001,201,201,1017,1017,Baldissero Canavese,,0,9328.98342058,4646490.60448,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001017,TO,Città metropolitana
17,1,1,001,201,201,1018,1018,Baldissero Torinese,,0,19629.7137331,15511824.1859,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001018,TO,Città metropolitana
18,1,1,001,201,201,1019,1019,Balme,,0,35128.2113436,62737924.9847,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001019,TO,Città metropolitana
19,1,1,001,201,201,1020,1020,Banchette,,0,11518.3286136,2010840.35995,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001020,TO,Città metropolitana
20,1,1,001,201,201,1021,1021,Barbania,,0,14850.5544158,12782102.6557,Torino,-,Piemonte,Nord-ovest,Torino,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/001021,TO,Città metropolitana
